09:17:38 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
09:17:59   loaded 20/72 episodes
09:18:10   loaded 40/72 episodes
09:18:18   loaded 60/72 episodes
09:18:26 25509 train rows, 2767 val rows, frames at 128 px
09:26:54   val l1 0.0656 (best 0.0587)  -> last.pt
09:27:02 step   1525  loss 0.2032  l1 0.0592  kl 0.014  0.34s/step  eta 1.7h
09:27:10 step   1550  loss 0.1927  l1 0.0575  kl 0.014  0.34s/step  eta 1.7h
09:27:17 step   1575  loss 0.1933  l1 0.0604  kl 0.013  0.34s/step  eta 1.7h
09:27:25 step   1600  loss 0.1950  l1 0.0597  kl 0.014  0.34s/step  eta 1.7h
09:27:33 step   1625  loss 0.1935  l1 0.0622  kl 0.013  0.34s/step  eta 1.7h
09:27:40 step   1650  loss 0.1937  l1 0.0623  kl 0.013  0.34s/step  eta 1.7h
09:27:47 step   1675  loss 0.1791  l1 0.0611  kl 0.012  0.33s/step  eta 1.7h
09:27:55 step   1700  loss 0.1775  l1 0.0624  kl 0.012  0.33s/step  eta 1.7h
09:28:03 step   1725  loss 0.1718  l1 0.0579  kl 0.011  0.33s/step  eta 1.7h
09:28:10 step   1750  loss 0.1709  l1 0.0594  kl 0.011  0.33s/step  eta 1.7h
09:28:12   val l1 0.0563 (best 0.0563)  *  -> last.pt
09:28:19 step   1775  loss 0.1676  l1 0.0603  kl 0.011  0.33s/step  eta 1.7h
09:28:27 step   1800  loss 0.1595  l1 0.0552  kl 0.010  0.33s/step  eta 1.7h
09:28:33 step   1825  loss 0.1539  l1 0.0553  kl 0.010  0.33s/step  eta 1.7h
09:28:40 step   1850  loss 0.1566  l1 0.0569  kl 0.010  0.33s/step  eta 1.7h
09:28:47 step   1875  loss 0.1580  l1 0.0573  kl 0.010  0.33s/step  eta 1.7h
09:28:54 step   1900  loss 0.1500  l1 0.0539  kl 0.010  0.33s/step  eta 1.7h
