01:08:43 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
01:08:46   loaded 10/72 episodes
01:08:49   loaded 20/72 episodes
01:08:52   loaded 30/72 episodes
01:08:55   loaded 40/72 episodes
01:08:58   loaded 50/72 episodes
01:09:00   loaded 60/72 episodes
01:09:03   loaded 70/72 episodes
01:09:06 25509 train rows, 2767 val rows, frames at 128 px
01:14:11 step   1475  loss 0.2175  l1 0.0567  kl 0.016  0.21s/step  eta 1.1h
01:14:15 step   1500  loss 0.2204  l1 0.0616  kl 0.016  0.21s/step  eta 1.1h
01:14:17   val l1 0.0539 (best 0.0539)  *  -> last.pt
01:14:21 step   1525  loss 0.2149  l1 0.0595  kl 0.016  0.21s/step  eta 1.1h
01:14:26 step   1550  loss 0.1989  l1 0.0584  kl 0.014  0.21s/step  eta 1.1h
01:14:30 step   1575  loss 0.1957  l1 0.0554  kl 0.014  0.21s/step  eta 1.1h
01:14:34 step   1600  loss 0.1952  l1 0.0530  kl 0.014  0.20s/step  eta 1.0h
01:14:38 step   1625  loss 0.1877  l1 0.0554  kl 0.013  0.20s/step  eta 1.0h
01:14:42 step   1650  loss 0.1951  l1 0.0559  kl 0.014  0.20s/step  eta 1.0h
01:14:47 step   1675  loss 0.1803  l1 0.0546  kl 0.013  0.20s/step  eta 1.0h
01:14:51 step   1700  loss 0.1741  l1 0.0501  kl 0.012  0.20s/step  eta 1.0h
01:14:56 step   1725  loss 0.1752  l1 0.0550  kl 0.012  0.20s/step  eta 1.0h
01:15:00 step   1750  loss 0.1736  l1 0.0571  kl 0.012  0.20s/step  eta 1.0h
01:15:02   val l1 0.0520 (best 0.0520)  *  -> last.pt
01:15:06 step   1775  loss 0.1665  l1 0.0540  kl 0.011  0.20s/step  eta 1.0h
01:15:11 step   1800  loss 0.1626  l1 0.0552  kl 0.011  0.20s/step  eta 1.0h
01:15:16 step   1825  loss 0.1577  l1 0.0569  kl 0.010  0.20s/step  eta 1.0h
01:15:20 step   1850  loss 0.1548  l1 0.0552  kl 0.010  0.20s/step  eta 1.0h
01:15:24 step   1875  loss 0.1595  l1 0.0544  kl 0.011  0.20s/step  eta 1.0h
01:15:29 step   1900  loss 0.1531  l1 0.0530  kl 0.010  0.20s/step  eta 1.0h
01:15:33 step   1925  loss 0.1605  l1 0.0579  kl 0.010  0.20s/step  eta 1.0h
01:15:37 step   1950  loss 0.1508  l1 0.0544  kl 0.010  0.20s/step  eta 1.0h
01:15:42 step   1975  loss 0.1471  l1 0.0529  kl 0.009  0.20s/step  eta 1.0h
01:15:46 step   2000  loss 0.1406  l1 0.0495  kl 0.009  0.20s/step  eta 1.0h
01:15:48   val l1 0.0432 (best 0.0432)  *  -> last.pt
01:15:52 step   2025  loss 0.1482  l1 0.0493  kl 0.010  0.20s/step  eta 1.0h
01:15:56 step   2050  loss 0.1370  l1 0.0484  kl 0.009  0.20s/step  eta 1.0h
01:16:00 step   2075  loss 0.1455  l1 0.0527  kl 0.009  0.20s/step  eta 1.0h
01:16:05 step   2100  loss 0.1387  l1 0.0537  kl 0.009  0.20s/step  eta 1.0h
01:16:09 step   2125  loss 0.1299  l1 0.0502  kl 0.008  0.20s/step  eta 1.0h
01:16:14 step   2150  loss 0.1340  l1 0.0516  kl 0.008  0.20s/step  eta 1.0h
01:16:18 step   2175  loss 0.1262  l1 0.0485  kl 0.008  0.20s/step  eta 1.0h
01:16:22 step   2200  loss 0.1280  l1 0.0509  kl 0.008  0.20s/step  eta 1.0h
01:16:26 step   2225  loss 0.1270  l1 0.0455  kl 0.008  0.20s/step  eta 1.0h
01:16:31 step   2250  loss 0.1217  l1 0.0465  kl 0.008  0.20s/step  eta 1.0h
01:16:32   val l1 0.0436 (best 0.0432)  -> last.pt
